configuration,compose_project,mode,trial,started_at,outage_seconds,detection_seconds,recovery_seconds,messages_expected,messages_stored,messages_lost,restored_at,recovery_actions,delivery_timeout_seconds,notes
c1,digital-twin-c1,storage,1,2026-09-15T14:46:46.799525+00:00,150.0,29.745,29.266,7,2,5,2026-09-15T14:49:17.719106+00:00,"[""compose start influxdb""]",90.0,messages missing at delivery timeout; later delivery remains possible
c1,digital-twin-c1,storage,2,2026-09-15T14:54:16.763393+00:00,150.0,29.779,29.31,7,2,5,2026-09-15T14:56:47.607072+00:00,"[""compose start influxdb""]",90.0,messages missing at delivery timeout; later delivery remains possible
c1,digital-twin-c1,storage,3,2026-09-15T15:01:46.840906+00:00,150.0,29.702,29.202,7,2,5,2026-09-15T15:04:17.529621+00:00,"[""compose start influxdb""]",90.0,messages missing at delivery timeout; later delivery remains possible
