configuration,compose_project,mode,trial,started_at,outage_seconds,detection_seconds,recovery_seconds,messages_expected,messages_stored,messages_lost,restored_at,recovery_actions,delivery_timeout_seconds,notes
c1,digital-twin-c1,network,1,2026-09-15T14:27:46.887273+00:00,150.0,102.665,29.835,7,7,0,2026-09-15T14:30:17.188238+00:00,"[""docker network connect digital-twin-c1_default 7ac07837304d67355a7a8b78eff9e215a78cd0a2cd71ee6321e6ea57bd618dd8""]",90.0,
c1,digital-twin-c1,network,2,2026-09-15T14:33:46.694920+00:00,150.0,109.865,29.801,7,7,0,2026-09-15T14:36:17.017075+00:00,"[""docker network connect digital-twin-c1_default 7ac07837304d67355a7a8b78eff9e215a78cd0a2cd71ee6321e6ea57bd618dd8""]",90.0,
c1,digital-twin-c1,network,3,2026-09-15T14:39:46.675578+00:00,150.0,114.892,29.78,7,7,0,2026-09-15T14:42:16.974438+00:00,"[""docker network connect digital-twin-c1_default 7ac07837304d67355a7a8b78eff9e215a78cd0a2cd71ee6321e6ea57bd618dd8""]",90.0,
