configuration,compose_project,mode,trial,started_at,outage_seconds,detection_seconds,recovery_seconds,messages_expected,messages_stored,messages_lost,restored_at,recovery_actions,delivery_timeout_seconds,notes
c2a,digital-twin-c2a,storage,1,2026-09-15T14:47:04.114654+00:00,150.0,29.932,29.704,7,2,5,2026-09-15T14:49:34.783990+00:00,"[""compose start influxdb""]",90.0,messages missing at delivery timeout; later delivery remains possible
c2a,digital-twin-c2a,storage,2,2026-09-15T14:54:34.167884+00:00,150.0,29.88,29.634,7,2,5,2026-09-15T14:57:04.832612+00:00,"[""compose start influxdb""]",90.0,messages missing at delivery timeout; later delivery remains possible
c2a,digital-twin-c2a,storage,3,2026-09-15T15:02:04.311834+00:00,150.0,29.741,29.273,7,2,5,2026-09-15T15:04:34.978131+00:00,"[""compose start influxdb""]",90.0,messages missing at delivery timeout; later delivery remains possible
