configuration,compose_project,mode,trial,started_at,outage_seconds,detection_seconds,recovery_seconds,messages_expected,messages_stored,messages_lost,restored_at,recovery_actions,delivery_timeout_seconds,notes
c2a,digital-twin-c2a,network,1,2026-09-15T14:28:04.242446+00:00,150.0,98.796,29.759,7,7,0,2026-09-15T14:30:34.524979+00:00,"[""docker network connect digital-twin-c2a_default c28e3b89c0eb771b72c62624e586b5d37bb090df77b87299cde0c106c3ed467f""]",90.0,
c2a,digital-twin-c2a,network,2,2026-09-15T14:34:04.357042+00:00,150.0,104.687,29.695,7,7,0,2026-09-15T14:36:34.624243+00:00,"[""docker network connect digital-twin-c2a_default c28e3b89c0eb771b72c62624e586b5d37bb090df77b87299cde0c106c3ed467f""]",90.0,
c2a,digital-twin-c2a,network,3,2026-09-15T14:40:04.107875+00:00,150.0,109.942,30.183,7,7,0,2026-09-15T14:42:34.372703+00:00,"[""docker network connect digital-twin-c2a_default c28e3b89c0eb771b72c62624e586b5d37bb090df77b87299cde0c106c3ed467f""]",90.0,
