configuration,compose_project,mode,trial,started_at,outage_seconds,detection_seconds,recovery_seconds,messages_expected,messages_stored,messages_lost,restored_at,recovery_actions,delivery_timeout_seconds,notes
c2b,digital-twin-c2b,network,1,2026-09-15T14:27:45.268882+00:00,150.0,96.706,29.807,7,7,0,2026-09-15T14:30:15.560326+00:00,"[""docker network connect digital-twin-c2b_default f11bd3cf5d8e5c5e950b66a789fdcd56041490700ccef826ca6b2d62cfe5594d""]",90.0,
c2b,digital-twin-c2b,network,2,2026-09-15T14:33:45.064077+00:00,150.0,101.919,29.764,7,7,0,2026-09-15T14:36:15.369808+00:00,"[""docker network connect digital-twin-c2b_default f11bd3cf5d8e5c5e950b66a789fdcd56041490700ccef826ca6b2d62cfe5594d""]",90.0,
c2b,digital-twin-c2b,network,3,2026-09-15T14:39:45.313784+00:00,150.0,106.671,29.77,7,7,0,2026-09-15T14:42:15.593435+00:00,"[""docker network connect digital-twin-c2b_default f11bd3cf5d8e5c5e950b66a789fdcd56041490700ccef826ca6b2d62cfe5594d""]",90.0,
