configuration,compose_project,mode,trial,started_at,outage_seconds,detection_seconds,recovery_seconds,messages_expected,messages_stored,messages_lost,restored_at,recovery_actions,delivery_timeout_seconds,notes
c2b,digital-twin-c2b,storage,1,2026-09-15T14:47:15.272882+00:00,150.0,29.762,29.067,7,2,5,2026-09-15T14:49:46.097878+00:00,"[""compose start influxdb""]",90.0,messages missing at delivery timeout; later delivery remains possible
c2b,digital-twin-c2b,storage,2,2026-09-15T14:54:45.138661+00:00,150.0,29.901,29.237,7,2,5,2026-09-15T14:57:15.904915+00:00,"[""compose start influxdb""]",90.0,messages missing at delivery timeout; later delivery remains possible
c2b,digital-twin-c2b,storage,3,2026-09-15T15:02:15.279126+00:00,150.0,29.734,28.973,7,2,5,2026-09-15T15:04:46.176164+00:00,"[""compose start influxdb""]",90.0,messages missing at delivery timeout; later delivery remains possible
